ID,Parent Company,Acquired Company,Business,Acquisition Date
505,Google,BlindType,Touch typing,2010-10-01
506,Google,Phonetic Arts,Speech synthesis,2010-12-01
507,Google,Widevine Technologies,DRM,2010-12-01
508,Google,eBook Technologies,E-book,2011-01-01
509,Google,SayNow,Voice recognition,2011-01-01
510,Google,Zynamics,Security,2011-03-01
511,Google,BeatThatQuote.com,Price comparison service,2011-03-01
512,Google,Next New Networks,Online video,2011-03-01
513,Google,Green Parrot Pictures,Digital video,2011-03-01
514,Google,PushLife,Service provider,2011-04-01
515,Google,ITA Software,Travel technology,2011-04-01
516,Google,TalkBin,Mobile software,2011-04-01
517,Google,Sparkbuy,Product search,2011-05-01
518,Google,PostRank,Social media analytics service,2011-06-01
